   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      密山,         -,     07:59,         -,         -,         -,         -,               -,              -
  2,    连珠山,     08:13,     08:16,      03分,        14,         0,       0/-,           -/-/-,            -/-
  3,      黑台,     08:31,     08:33,      02分,        32,         0,       7/-,           -/-/-,            -/-
  4,    永安乡,     08:47,     08:57,      10分,        48,         0,       9/-,           -/-/-,            -/-
  5,      鸡东,     09:26,     09:28,      02分,        87,         0,    10.5/-,           -/-/-,            -/-
  6,      鸡西,     09:45,     09:56,      11分,       106,         0,    12.5/-,           -/-/-,            -/-
  7,      兰岭,     10:25,     10:33,      08分,       146,         0,       0/-,           -/-/-,            -/-
  8,    西麻山,     11:02,     11:04,      02分,       183,         0,    20.5/-,           -/-/-,            -/-
  9,      林口,     11:33,     11:38,      05分,       214,         0,    25.5/-,           -/-/-,            -/-
 10,      向阳,     11:58,     12:02,      04分,       239,         0,    26.5/-,           -/-/-,            -/-
 11,    朱家沟,     12:46,     12:49,      03分,       287,         0,    32.5/-,           -/-/-,            -/-
 12,      柴河,     13:11,     13:13,      02分,       312,         0,    35.5/-,           -/-/-,            -/-
 13,    牡丹江,     13:45,     13:45,      00分,       346,         0,    38.5/-,           -/-/-,            -/-
