   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    小金口,         -,     07:20,         -,         -,         -,         -,               -,              -
  2,      云山,     07:26,     07:27,      01分,         6,         0,       -/-,           -/-/-,            -/-
  3,    西湖东,     07:31,     07:32,      01分,        11,         0,       -/-,           -/-/-,            -/-
  4,      龙丰,     07:35,     07:36,      01分,        15,         0,       -/-,           -/-/-,            -/-
  5,      惠环,     07:41,     07:42,      01分,        21,         0,       -/-,           -/-/-,            -/-
  6,      仲恺,     07:46,     07:47,      01分,        26,         0,       -/-,           -/-/-,            -/-
  7,    沥林北,     07:55,     07:56,      01分,        35,         0,       -/-,           -/-/-,            -/-
  8,      银瓶,     08:01,     08:02,      01分,        41,         0,       -/-,           -/-/-,            -/-
  9,  樟木头东,     08:06,     08:07,      01分,        46,         0,       -/-,           -/-/-,            -/-
 10,    常平东,     08:13,     08:13,      00分,        53,         0,       -/-,           -/-/-,            -/-
