   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    广州南,         -,     13:12,         -,         -,         -,         -,               -,              -
  2,    三水南,     13:39,     13:41,      02分,        27,         0,    15.5/-,           -/-/-,            -/-
  3,    云浮东,     14:15,     14:17,      02分,        63,         0,    42.5/-,           -/-/-,            -/-
  4,      郁南,     14:46,     14:48,      02分,        94,         0,    66.5/-,           -/-/-,            -/-
  5,    梧州南,     15:03,     15:07,      04分,       111,         0,      76/-,           -/-/-,            -/-
  6,    平南南,     15:39,     15:41,      02分,       147,         0,   100.5/-,           -/-/-,            -/-
  7,      桂平,     15:56,     15:58,      02分,       164,         0,   110.5/-,           -/-/-,            -/-
  8,      贵港,     16:22,     16:24,      02分,       190,         0,     128/-,           -/-/-,            -/-
  9,    南宁东,     17:14,     17:35,      21分,       242,         0,     169/-,           -/-/-,            -/-
 10,    钦州东,     18:20,     18:22,      02分,       308,         0,     200/-,           -/-/-,            -/-
 11,      北海,     19:03,     19:03,      00分,       351,         0,   226.5/-,           -/-/-,            -/-
