   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      吉林,         -,     08:00,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      长春,     08:42,     08:43,       1分,        42,       111, 31.5/38.5,           -/-/-,           -/-
  3,    长春西,     08:55,     08:55,          ,        55,       123,     40/53,           -/-/-,           -/-
  4,    四平东,     09:23,     09:25,       2分,        83,       241,    91/134,           -/-/-,           -/-
  5,    铁岭西,     09:54,     09:56,       2分,       114,       367,   149/226,           -/-/-,           -/-
  6,      沈阳,     10:18,     10:21,       3分,       138,       426,   176/270,           -/-/-,           -/-
  7,    沈阳南,     10:34,     10:36,       2分,       152,       441, 184/281.5,           -/-/-,           -/-
  8,      本溪,     11:00,     11:02,       2分,       180,       502,   203/304,           -/-/-,           -/-
  9,    凤城东,     11:32,     11:34,       2分,       212,       629, 234.5/342,           -/-/-,           -/-
 10,      丹东,     11:51,         -,          ,       231,       649, 248/358.5,           -/-/-,           -/-
