   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      九江,         -,     18:16,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    南昌西,     19:50,     20:03,      13分,        94,       142,       -/-,           -/-/-,           -/-
  3,      吉安,     22:24,     22:30,       6分,       248,       368,       -/-,           -/-/-,           -/-
  4,      赣州,     00:40,     00:46,       6分,       384,       554,       -/-,           -/-/-,           -/-
  5,      龙川,     03:53,     03:58,       5分,       577,       788,     115/-,     197/205/211,       304/319
  6,      河源,     04:54,     04:57,       3分,       638,       870,       -/-,           -/-/-,           -/-
  7,      惠州,     05:51,     05:56,       5分,       695,       950,       -/-,           -/-/-,           -/-
  8,    东莞东,     06:41,     06:47,       6分,       745,      1004,       -/-,           -/-/-,           -/-
  9,    广州东,     07:53,     07:59,       6分,       817,      1090,   173.5/-,290.5/302.5/311.5,   451.5/472.5
 10,      广州,     08:09,         -,          ,       833,      1098,   173.5/-,290.5/302.5/311.5,   451.5/472.5
