   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,齐齐哈尔,         -,     07:38,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,    大庆西,     08:37,     08:43,      06分,        59,         0,    18.5/-,           -/-/-,            -/-
  3,    大庆东,     08:59,     09:03,      04分,        81,         0,    21.5/-,           -/-/-,            -/-
  4,      安达,     09:17,     09:25,      08分,        99,         0,    24.5/-,           -/-/-,            -/-
  5,      肇东,     10:07,     10:09,      02分,       149,         0,    36.5/-,           -/-/-,            -/-
  6,  哈尔滨西,     11:19,     11:49,      30分,       221,         0,    46.5/-,           -/-/-,            -/-
  7,      扶余,     12:44,     12:47,      03分,       306,         0,    62.5/-,           -/-/-,            -/-
  8,      德惠,     13:19,     13:22,      03分,       341,         0,      69/-,           -/-/-,            -/-
  9,      长春,     14:10,     14:20,      10分,       392,         0,      70/-,           -/-/-,           -/-
 10,    公主岭,     14:54,     14:57,      03分,       436,         0,      86/-,           -/-/-,            -/-
 11,      四平,     15:32,     15:38,      06分,       474,         0,      91/-,           -/-/-,            -/-
 12,      昌图,     16:07,     16:10,      03分,       509,         0,      98/-,           -/-/-,            -/-
 13,      开原,     16:27,     16:37,      10分,       529,         0,     102/-,           -/-/-,            -/-
 14,      铁岭,     16:56,     16:59,      03分,       558,         0,     105/-,           -/-/-,            -/-
 15,      沈阳,     17:50,     17:50,      00分,       612,         0,     112/-,           -/-/-,            -/-
