   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  石家庄北,         -,     06:16,         -,         -,         -,         -,               -,              -
  2,      辛集,     07:07,     07:09,      02分,        51,         0,    14.5/-,           -/-/-,            -/-
  3,      衡水,     07:45,     07:51,      06分,        89,         0,    21.5/-,           -/-/-,            -/-
  4,      吴桥,     09:29,     09:46,      17分,       193,         0,    32.5/-,           -/-/-,            -/-
  5,      东光,     10:07,     10:11,      04分,       231,         0,    40.5/-,           -/-/-,            -/-
  6,      泊头,     10:25,     10:28,      03分,       249,         0,    41.5/-,           -/-/-,            -/-
  7,      沧州,     10:52,     10:58,      06分,       276,         0,    46.5/-,           -/-/-,            -/-
  8,      青县,     11:18,     11:32,      14分,       302,         0,    50.5/-,           -/-/-,            -/-
  9,      静海,     12:00,     12:03,      03分,       344,         0,    53.5/-,           -/-/-,            -/-
 10,    天津西,     12:42,     12:45,      03分,       386,         0,    62.5/-,           -/-/-,            -/-
 11,      杨村,     13:12,     13:16,      04分,       416,         0,      69/-,           -/-/-,            -/-
 12,    廊坊北,     13:43,     13:46,      03分,       447,         0,      72/-,           -/-/-,            -/-
 13,    北京西,     14:32,     14:51,      19分,       496,         0,      78/-,           -/-/-,            -/-
 14,    三家店,     15:33,     15:43,      10分,       557,         0,      81/-,           -/-/-,            -/-
 15,    官厅西,     16:57,     17:47,      50分,       641,         0,      91/-,           -/-/-,            -/-
 16,      沙城,     18:11,     18:13,      02分,       715,         0,      93/-,           -/-/-,            -/-
 17,    下花园,     18:35,     18:37,      02分,       739,         0,      98/-,           -/-/-,            -/-
 18,      宣化,     18:59,     19:01,      02分,       763,         0,      98/-,           -/-/-,            -/-
 19,  张家口南,     19:26,     19:26,      00分,       790,         0,     102/-,           -/-/-,            -/-
