   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      包头,         -,     05:25,         -,         -,         -,       -/-,           -/-/-,           -/-
  2,   包头东,     05:40,     05:44,       4分,        15,        16,       -/-,        54/59/62,           8/-
  3,呼和浩特,     06:57,     07:03,       6分,        92,       165,       -/-,  70.5/75.5/78.5,        24.5/-
  4,   集宁南,     08:18,     08:24,       6分,       173,       323,       -/-,    96.5/107/111,        50.5/-
  5,张家口南,     10:06,     10:12,       6分,       281,       501,       -/-,     129/132/136,          72/-
  6,      黄村,     13:43,     13:45,       2分,       498,       696,       -/-,     163/168/174,          93/-
  7,      衡水,     15:38,     15:41,       3分,       613,       947,       -/-,232.5/240.5/247.5,       135.5/-
  8,      菏泽,     18:08,     18:11,       3分,       763,      1255,       -/-,   268.5/296/309,       156.5/-
  9,      阜阳,     20:29,     20:37,       8分,       904,      1528,       -/-,   310.5/342/358,       180.5/-
 10,      九江,     00:27,     00:30,       3分,      1142,      1987,       -/-,     381/420/439,         224/-
 11,      吉安,     04:18,     04:22,       4分,      1373,      2360,       -/-,   434.5/478/500,       254.5/-
 12,      赣州,     06:11,     06:31,      20分,      1486,      2546,       -/-,   455.5/502/524,       268.5/-
 13,      龙岩,     08:37,     08:46,       9分,      1632,      2817,       -/-,491.5/507.5/525.5,       290.5/-
 14,      厦门,     10:55,         -,           ,      1770,      2986,       -/-,513.5/531.5/549.5,       302.5/-
